Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18O_cib_adj,d13C_cib_adj,age_ka
ODP1209,A,4,H,6,25,27,34.95,38.62,CWUEL,3.326,-0.384,3.966,-0.384,2637.3
ODP1209,B,5,H,1,135,137,34.95,38.67,CWUEL,3.317,-0.28,3.957,-0.28,2639.3
ODP1209,B,5,H,1,145,147,35.05,38.77,CWUEL,3.264,-0.339,3.904,-0.339,2642.8
ODP1209,B,5,H,2,0,2,35.1,38.82,CWUEL,3.072,-0.193,3.712,-0.193,2644.8
ODP1209,B,5,H,2,5,7,35.15,38.87,CWUEL,3.226,-0.181,3.866,-0.181,2646.6
ODP1209,B,5,H,2,15,17,35.25,38.97,CWUEL,3.283,-0.094,3.923,-0.094,2650.2
ODP1209,B,5,H,2,25,27,35.35,39.07,CWUEL,3.009,-0.06,3.649,-0.06,2654.6
ODP1209,B,5,H,2,35,37,35.45,39.17,CWUEL,3.106,-0.028,3.746,-0.028,2659.5
ODP1209,B,5,H,2,45,47,35.55,39.27,CWUEL,3.243,-0.319,3.883,-0.319,2663.7
ODP1209,B,5,H,2,55,57,35.65,39.37,CWUEL,3.174,0.003,3.814,0.003,2668.4
ODP1209,B,5,H,2,60,62,35.7,39.42,CWUEL,3.054,-0.053,3.694,-0.053,2671.1
ODP1209,B,5,H,2,65,67,35.75,39.47,CWUEL,2.951,-0.168,3.591,-0.168,2674
ODP1209,B,5,H,2,75,77,35.85,39.57,CWUEL,3.177,-0.28,3.817,-0.28,2677.7
ODP1209,B,5,H,2,85,87,35.95,39.67,CWUEL,3.354,-0.208,3.994,-0.208,2681.8
ODP1209,B,5,H,2,90,92,36,39.72,CWUEL,3.402,-0.479,4.042,-0.479,2683.8
ODP1209,B,5,H,2,95,97,36.05,39.77,CWUEL,3.481,-0.113,4.121,-0.113,2685.3
ODP1209,B,5,H,2,105,107,36.15,39.87,CWUEL,3.418,-0.258,4.058,-0.258,2688.4
ODP1209,B,5,H,2,115,117,36.25,39.97,CWUEL,3.315,-0.208,3.955,-0.208,2691.8
ODP1209,B,5,H,2,120,122,36.3,40.02,CWUEL,3.04,-0.367,3.68,-0.367,2693.5
ODP1209,B,5,H,2,125,127,36.35,40.07,CWUEL,3.112,-0.155,3.752,-0.155,2695.3
ODP1209,B,5,H,2,135,137,36.45,40.17,CWUEL,3.208,-0.049,3.848,-0.049,2698.7
ODP1209,B,5,H,2,140,142,36.51,40.23,CWUEL,3.237,-0.263,3.877,-0.263,2700.9
ODP1209,B,5,H,2,145,147,36.55,40.27,CWUEL,3.145,-0.332,3.785,-0.332,2702.9
ODP1209,B,5,H,3,2,4,36.62,40.34,CWUEL,3.355,-0.327,3.995,-0.327,2706.7
ODP1209,B,5,H,3,5,7,36.65,40.37,CWUEL,3.323,-0.53,3.963,-0.53,2708.4
ODP1209,B,5,H,3,15,17,36.75,40.47,CWUEL,3.32,-0.698,3.96,-0.698,2713.8
ODP1209,B,5,H,3,25,27,36.85,40.57,CWUEL,3.537,-0.52,4.177,-0.52,2719.3
ODP1209,B,5,H,3,30,32,36.9,40.62,CWUEL,3.592,-0.396,4.232,-0.396,2722.4
ODP1209,B,5,H,3,35,37,36.95,40.67,CWUEL,3.314,-0.135,3.954,-0.135,2725.3
ODP1209,B,5,H,3,45,47,37.05,40.77,CWUEL,2.94,-0.087,3.58,-0.087,2731.1
ODP1209,B,5,H,3,55,57,37.15,40.87,CWUEL,2.737,-0.045,3.377,-0.045,2736.2
ODP1209,B,5,H,3,65,67,37.25,40.97,,,,,,2743.4
ODP1209,B,5,H,3,78,80,37.38,41.1,,,,,,2752.5
ODP1209,B,5,H,3,85,87,37.45,41.17,CWUEL,3.074,-0.193,3.714,-0.193,2756.7
ODP1209,B,5,H,3,90,92,37.5,41.22,CWUEL,2.93,-0.231,3.57,-0.231,2759.8
ODP1209,B,5,H,3,95,97,37.55,41.27,CWUEL,3.061,-0.125,3.701,-0.125,2762.5
ODP1209,B,5,H,3,105,107,37.65,41.37,CWUEL,2.982,0.101,3.622,0.101,2767.8
ODP1209,B,5,H,3,115,117,37.75,41.47,CWUEL,2.818,0.078,3.458,0.078,2772.5
ODP1209,B,5,H,3,120,122,37.8,41.52,CWUEL,2.587,-0.12,3.227,-0.12,2775.2
ODP1209,B,5,H,3,125,127,37.85,41.57,CWUEL,2.815,-0.08,3.455,-0.08,2777.6
ODP1209,B,5,H,3,135,137,37.95,41.67,CWUEL,2.882,0.103,3.522,0.103,2782.7
ODP1209,B,5,H,3,141,143,38,41.72,CWUEL,2.875,0.035,3.515,0.035,2785.8
ODP1209,B,5,H,3,145,147,38.05,41.77,CWUEL,2.979,0.071,3.619,0.071,2788.5
ODP1209,B,5,H,4,0,2,38.1,41.82,CWUEL,2.943,0.079,3.583,0.079,2792.3
ODP1209,B,5,H,4,5,7,38.15,41.87,CWUEL,2.973,0.025,3.613,0.025,2795.6
ODP1209,B,5,H,4,15,17,38.25,41.97,CWUEL,3.199,-0.129,3.839,-0.129,2802.3
ODP1209,B,5,H,4,25,27,38.35,42.07,CWUEL,3.275,-0.075,3.915,-0.075,2809.6
ODP1209,B,5,H,4,35,37,38.45,42.17,CWUEL,3.211,-0.048,3.851,-0.048,2815.6
ODP1209,B,5,H,4,45,47,38.55,42.27,CWUEL,2.896,0.276,3.536,0.276,2820.5
ODP1209,B,5,H,4,55,57,38.65,42.37,CWUEL,2.912,0.161,3.552,0.161,2824.5
ODP1209,B,5,H,4,65,67,38.75,42.47,CWUEL,2.865,0.031,3.505,0.031,2828.1
ODP1209,B,5,H,4,75,77,38.85,42.57,CWUEL,2.951,0.245,3.591,0.245,2831.4
ODP1209,B,5,H,4,85,87,38.95,42.67,CWUEL,2.946,0.076,3.586,0.076,2835.2
ODP1209,B,5,H,4,95,97,39.05,42.77,CWUEL,3.022,-0.116,3.662,-0.116,2839.2
ODP1209,B,5,H,4,105,107,39.15,42.87,CWUEL,3.158,-0.246,3.798,-0.246,2843.2
ODP1209,B,5,H,4,115,117,39.25,42.97,CWUEL,3.163,0.013,3.803,0.013,2847.4
ODP1209,B,5,H,4,125,127,39.35,43.07,CWUEL,3.109,0.028,3.749,0.028,2851.7
ODP1209,B,5,H,4,135,137,39.45,43.17,CWUEL,2.839,0.24,3.479,0.24,2856.3
ODP1209,B,5,H,4,145,147,39.55,43.27,CWUEL,2.796,0.009,3.436,0.009,2860.1
ODP1209,B,5,H,5,2,4,39.62,43.34,CWUEL,2.898,-0.002,3.538,-0.002,2863
ODP1209,B,5,H,5,5,7,39.65,43.37,CWUEL,2.794,-0.075,3.434,-0.075,2864.3
ODP1209,B,5,H,5,15,17,39.75,43.47,CWUEL,2.92,0.053,3.56,0.053,2869
ODP1209,B,5,H,5,25,27,39.85,43.57,CWUEL,3.017,-0.001,3.657,-0.001,2873.5
ODP1209,B,5,H,5,30,32,39.9,43.62,CWUEL,3.036,0.029,3.676,0.029,2876.1
ODP1209,B,5,H,5,35,37,39.95,43.67,CWUEL,3.183,-0.11,3.823,-0.11,2878.3
ODP1209,B,5,H,5,45,47,40.05,43.77,CWUEL,3.269,-0.088,3.909,-0.088,2883.2
ODP1209,B,5,H,5,55,57,40.15,43.87,CWUEL,3.135,-0.134,3.775,-0.134,2887.9
ODP1209,B,5,H,5,60,62,40.2,43.92,CWUEL,2.923,0.058,3.563,0.058,2890.6
ODP1209,B,5,H,5,65,67,40.25,43.97,CWUEL,3.001,-0.223,3.641,-0.223,2893.2
ODP1209,B,5,H,5,78,80,40.38,44.1,CWUEL,2.897,0.062,3.537,0.062,2899.5
ODP1209,B,5,H,5,85,87,40.45,44.17,CWUEL,2.873,-0.051,3.513,-0.051,2902.4
ODP1209,A,5,H,3,65,67,40.35,44.21,CWUEL,2.878,0.078,3.518,0.078,2904.4
ODP1209,B,5,H,5,91,93,40.51,44.23,CWUEL,2.851,0.064,3.491,0.064,2905.5
ODP1209,B,5,H,5,95,97,40.55,44.27,CWUEL,2.932,-0.108,3.572,-0.108,2907
ODP1209,A,5,H,3,75,77,40.45,44.31,CWUEL,2.814,-0.023,3.454,-0.023,2908.6
ODP1209,A,5,H,3,85,87,40.55,44.41,CWUEL,2.96,0.05,3.6,0.05,2912.8
ODP1209,A,5,H,3,95,97,40.65,44.51,CWUEL,2.816,-0.145,3.456,-0.145,2916.6
ODP1209,A,5,H,3,105,107,40.75,44.61,CWUEL,3.072,-0.129,3.712,-0.129,2921
ODP1209,A,5,H,3,115,117,40.85,44.71,CWUEL,3.019,-0.246,3.659,-0.246,2926.4
ODP1209,A,5,H,3,125,127,40.95,44.81,CWUEL,3.325,-0.51,3.965,-0.51,2931.9
ODP1209,A,5,H,3,131,133,41.01,44.87,CWUEL,2.871,-0.085,3.511,-0.085,2935.5
ODP1209,A,5,H,3,145,147,41.15,45.01,CWUEL,2.707,0.095,3.347,0.095,2941.3
