d13C,d18O,foram_species,depth_mcd,age_ka
0.86,4.02,CKULL,36.502400,1132.93000
0.36,4.13,CBRA,36.572100,1135.12000
0.99,3.66,CWUE,36.652300,1138.95000
0.87,3.76,CKULL,36.652300,1138.95000
0.90,3.72,CKULL,36.826600,1148.77000
1.13,3.32,CWUE,37.000900,1158.60000
0.98,3.64,CKULL,37.000900,1158.60000
1.21,3.27,CWUE,37.088100,1163.51000
1.24,3.32,CWUE,37.175200,1167.71000
0.76,3.30,CSPP,37.262400,1170.17000
0.73,3.05,NUMB,37.262400,1170.17000
1.15,3.30,CWUE,37.349500,1172.63000
0.76,3.68,CBRA,37.349500,1172.63000
0.70,3.52,CBRA,37.436700,1175.09000
1.00,3.47,CKULL,37.523900,1177.54000
0.59,3.48,CBRA,37.523900,1177.54000
0.88,3.21,NUMB,37.610400,1180.31000
0.86,3.99,CWUE,37.819600,1187.17000
0.37,4.18,CWUE,37.863000,1188.59000
0.68,4.15,CWUE,37.906500,1190.02000
0.61,4.26,CKULL,37.950000,1191.44000
0.62,4.14,CWUE,37.993500,1192.87000
0.21,4.20,CWUE,38.037000,1194.29000
-0.58,3.89,CWUE,38.123900,1197.14000
0.27,4.17,CWUE,38.167400,1198.65000
0.42,4.03,CWUE,38.297800,1203.54000
0.31,3.92,CWUE,38.341300,1205.17000
0.47,4.06,CWUE,38.384800,1206.80000
0.64,3.97,CWUE,38.428300,1208.43000
0.58,3.47,CWUE,38.471700,1210.07000
0.37,3.86,CWUE,38.515200,1211.70000
0.54,3.02,CWUE,38.559100,1213.34000
0.73,3.50,CWUE,38.696200,1218.79000
0.99,3.43,CWUE,38.741800,1220.72000
0.90,3.64,CWUE,38.787500,1222.65000
0.85,3.33,CWUE,38.833200,1224.58000
0.92,3.49,CWUE,38.878800,1226.51000
1.08,3.12,CWUE,39.015900,1232.29000
0.63,3.35,CWUE,39.107200,1236.15000
-0.23,3.20,CWUE,39.152900,1238.08000
-0.30,3.36,CWUE,39.198600,1240.01000
-0.14,3.49,CWUE,39.289900,1243.86000
0.02,3.71,CWUE,39.680600,1259.82000
-0.23,3.82,CWUE,39.733700,1261.88000
0.53,3.26,CWUE,39.840000,1265.99000
0.82,3.54,CWUE,40.143000,1277.70000
0.96,3.40,CWUE,40.167500,1278.65000
1.04,3.29,CWUE,40.190500,1279.54000
0.79,3.38,CWUE,40.214200,1280.45000
1.00,3.25,CWUE,40.238000,1281.38000
1.11,3.44,CWUE,40.260800,1282.26000
0.96,3.32,CWUE,40.285500,1283.21000
1.06,3.45,CWUE,40.307500,1284.03000
0.93,3.37,CWUE,40.333000,1284.99000
0.83,3.61,CWUE,40.400900,1287.53000
0.78,3.65,CWUE,40.447600,1289.28000
-0.09,3.49,CWUE,40.736300,1300.11000
0.08,3.89,CWUE,40.881100,1304.61000
0.65,4.00,CWUE,40.929300,1306.05000
0.66,3.55,CWUE,41.042000,1309.41000
1.04,3.42,CWUE,41.089100,1310.82000
0.88,3.52,CWUE,41.136300,1312.22000
0.78,3.58,CWUE,41.183400,1313.63000
0.56,3.58,CWUE,41.230600,1315.03000
0.67,3.50,CWUE,41.279200,1316.48000
0.83,3.61,CWUE,41.328200,1317.94000
0.61,3.83,CWUE,41.377100,1318.83000
0.77,3.08,CWUE,41.426100,1319.69000
0.54,3.88,CWUE,41.475100,1320.54000
0.49,3.79,CWUE,41.524000,1321.40000
0.62,3.85,CWUE,41.573000,1322.26000
0.62,3.79,CWUE,41.622000,1323.12000
0.44,4.09,CWUE,41.671000,1323.98000
0.58,3.96,CWUE,41.719900,1324.84000
0.57,3.72,CWUE,41.768900,1325.70000
0.49,4.05,CWUE,41.817900,1326.56000
0.07,3.97,CWUE,41.915800,1328.80000
-0.12,3.62,CWUE,41.964800,1331.29000
-0.19,4.06,CWUE,42.013800,1333.78000
0.63,3.22,CWUE,42.160700,1341.25000
0.77,3.32,CWUE,42.209700,1343.74000
0.62,3.59,CWUE,42.258600,1346.23000
0.72,3.63,CWUE,42.307600,1348.71000
0.70,3.55,CWUE,42.356600,1351.20000
0.81,3.28,CWUE,42.405500,1353.69000
0.90,3.27,CWUE,42.454500,1356.18000
0.53,3.00,CWUE,42.552500,1360.23000
1.06,3.16,CWUE,42.650400,1363.05000
0.58,3.54,CWUE,42.804400,1367.49000
1.03,3.49,CWUE,42.856100,1368.98000
0.69,3.63,CWUE,42.959400,1371.96000
0.36,3.92,CWUE,43.114500,1376.44000
0.49,3.94,CWUE,43.166200,1377.93000
0.51,4.04,CWUE,43.217900,1379.42000
0.69,4.07,CWUE,43.269600,1380.91000
0.17,3.77,CWUE,43.321200,1382.40000
0.85,3.94,CWUE,43.372900,1383.89000
0.73,3.98,CWUE,43.424600,1385.38000
0.81,3.74,CWUE,43.476300,1386.87000
0.73,3.62,CWUE,43.528000,1388.36000
0.73,3.05,CWUE,43.630400,1391.63000
1.12,3.65,CWUE,43.681000,1393.27000
1.01,3.62,CWUE,43.731600,1394.92000
1.04,3.49,CWUE,43.782100,1396.57000
0.95,3.48,CWUE,43.832700,1398.22000
1.12,4.62,CWUE,43.874000,1399.57000
1.01,3.15,CWUE,43.933800,1401.52000
0.92,3.36,CWUE,43.994400,1403.50000
0.74,2.70,CWUE,44.025300,1404.51000
0.87,3.59,CWUE,44.095600,1406.80000
0.87,4.04,CWUE,44.196700,1410.10000
0.28,4.26,CWUE,44.297800,1413.40000
0.63,3.86,CWUE,44.398900,1416.70000
0.09,3.50,CWUE,44.601400,1423.98000
0.43,3.74,CWUE,44.702900,1427.97000
1.12,3.34,CWUE,44.804300,1431.95000
0.78,2.54,CWUE,44.905700,1435.94000
0.97,3.16,CWUE,45.007100,1439.92000
0.20,4.09,CWUE,45.466500,1454.09000
0.70,4.15,CWUE,45.594800,1457.90000
1.01,3.59,CWUE,45.848200,1465.69000
1.02,2.94,CWUE,45.968600,1469.92000
1.25,3.39,CWUE,46.089100,1474.14000
1.13,3.41,CKULL,46.209500,1478.37000
1.07,3.33,CKULL,46.330000,1482.60000
0.90,4.22,CWUE,46.808000,1503.47000
0.53,3.08,CWUE,46.927800,1506.40000
1.19,3.68,CSPP,47.287200,1514.38000
1.33,3.64,CWUE,47.407000,1517.04000
1.16,3.43,CWUE,47.526800,1519.71000
0.92,3.69,CWUE,47.646600,1522.37000
0.93,3.70,CWUE,47.766400,1525.03000
0.57,4.26,CSPP,48.006100,1530.36000
0.77,3.70,CSPP,48.126500,1533.03000
0.43,2.78,CWUE,48.246900,1535.71000
0.81,3.14,CWUE,48.487800,1543.59000
0.79,3.67,CSPP,48.605000,1547.46000
0.90,3.25,CWUE,48.717500,1550.92000
1.11,3.12,CSPP,49.055600,1561.33000
1.16,3.35,CWUE,49.168500,1564.80000
1.16,3.35,CWUE,49.281400,1567.95000
0.97,3.61,CWUE,49.509600,1573.18000
1.04,3.80,CWUE,49.965900,1583.15000
0.93,3.48,CSPP,50.500000,1598.22000
1.05,3.42,CSPP,50.640000,1602.11000
0.99,3.25,CSPP,50.780000,1606.00000
0.95,3.47,CSPP,50.875100,1609.52000
1.10,3.35,CSPP,50.970200,1613.05000
1.05,3.23,CSPP,51.065400,1616.54000
0.60,3.63,CSPP,51.160500,1619.90000
1.06,3.33,CSPP,51.255600,1623.26000
1.10,3.51,CWUE,51.284600,1624.28000
0.90,3.39,CWUE,51.331800,1625.95000
0.99,3.47,CWUE,51.354000,1626.73000
0.88,3.28,CWUE,51.379300,1627.62000
1.07,3.45,CWUE,51.426800,1629.30000
0.83,3.90,CKULL,51.474300,1630.98000
0.86,3.85,CWUE,51.474400,1630.98000
0.87,3.64,CWUE,51.521900,1632.66000
0.84,3.61,CWUE,51.573600,1634.35000
1.12,2.96,CWUE,51.609600,1635.27000
1.11,3.26,CWUE,51.641600,1636.09000
1.00,3.26,CWUE,51.709600,1637.83000
0.97,3.22,CWUE,51.777600,1639.57000
1.11,3.26,CSPP,51.781700,1639.67000
0.93,3.26,CWUE,51.845600,1641.31000
1.10,3.25,CWUE,51.908200,1642.91000
0.87,3.23,CWUE,51.949400,1643.96000
1.13,3.45,CWUE,51.990600,1645.03000
0.90,3.81,CWUE,52.031800,1646.84000
1.26,3.14,CWUE,52.072900,1648.64000
0.98,3.95,CWUE,52.114100,1650.45000
1.00,3.98,CWUE,52.196500,1654.07000
0.88,3.81,CWUE,52.278800,1657.69000
0.73,3.75,CWUE,52.320000,1659.50000
0.91,3.88,CWUE,52.402400,1663.12000
0.78,4.00,CWUE,52.443500,1664.93000
0.71,4.08,CWUE,52.525900,1668.55000
0.73,4.01,CWUE,52.567100,1670.36000
0.33,4.14,CWUE,52.611000,1672.29000
1.05,3.62,CWUE,52.666000,1674.45000
0.76,3.89,CWUE,52.720900,1676.01000
1.00,3.67,CWUE,52.775900,1677.57000
0.94,3.61,CWUE,52.830900,1679.12000
0.80,3.37,CWUE,53.105700,1686.91000
0.98,3.30,CWUE,53.270600,1691.58000
0.38,3.32,CWUE,53.380500,1694.70000
0.92,3.04,CWUE,53.490500,1697.81000
-0.22,3.37,CWUE,53.600400,1700.93000
-0.26,3.48,CWUE,53.655400,1702.49000
0.82,3.67,CWUE,54.095100,1714.13000
0.78,3.05,CWUE,54.205000,1716.88000
0.48,2.78,CWUE,54.302400,1720.09000
0.51,3.58,CWUE,54.387100,1723.48000
0.76,3.68,CWUE,54.429400,1725.18000
0.91,3.49,CWUE,54.641200,1732.55000
0.88,3.52,CWUE,54.683500,1733.92000
0.65,2.95,CWUE,54.768200,1736.65000
0.81,4.17,CWUE,54.852900,1739.48000
0.71,4.18,CWUE,54.937600,1742.39000
0.66,3.60,CKULL,55.041300,1745.95000
-0.01,3.62,CKULL,55.286700,1753.54000
1.01,2.69,CWUE,55.532000,1760.64000
1.02,2.98,CWUE,55.777300,1767.74000
0.98,3.13,CWUE,56.485400,1796.38000
0.92,3.50,CSPP,56.593600,1799.98000
0.86,3.49,CSPP,56.827700,1807.43000
0.96,3.30,CSPP,56.944700,1811.17000
0.79,3.30,CSPP,57.060900,1815.43000
0.83,3.40,CSPP,57.170200,1819.44000
0.77,3.31,CSPP,57.279500,1823.46000
0.46,3.21,CSPP,57.388800,1827.51000
0.87,3.19,CKULL,57.498100,1831.56000
0.57,3.86,CKULL,57.602500,1835.51000
0.54,3.90,CKULL,57.705700,1839.42000
0.70,3.90,CSPP,57.808900,1843.26000
0.56,3.88,CSPP,57.912100,1846.33000
0.73,3.46,CSPP,58.015200,1849.40000
0.88,3.40,CSPP,58.118400,1852.47000
0.81,3.18,CSPP,58.216400,1855.72000
0.82,3.72,CKULL,58.309300,1859.16000
0.84,3.79,CKULL,58.402100,1862.60000
0.91,3.55,CSPP,58.495000,1866.39000
1.02,3.42,CKULL,58.587900,1870.43000
1.02,3.48,CKULL,58.680700,1874.36000
1.02,3.56,CKULL,58.787200,1877.91000
1.00,3.47,CKULL,58.884300,1881.14000
0.98,3.35,CKULL,58.981500,1884.38000
1.02,3.40,CKULL,59.078700,1887.18000
0.95,3.35,CKULL,59.175800,1889.88000
0.80,3.40,CKULL,59.273000,1892.58000
0.78,3.44,CSPP,59.370100,1895.28000
0.75,3.37,CKULL,59.467300,1897.98000
-0.12,3.82,CSPP,59.564500,1900.68000
0.59,4.14,CKULL,59.661600,1903.38000
0.39,3.95,CKULL,59.758800,1906.08000
0.58,3.84,CKULL,59.856000,1908.78000
0.70,3.75,CSPP,59.953100,1911.48000
0.80,3.84,CWUE,60.040600,1913.90000
0.73,3.91,CWUE,60.159600,1917.82000
0.37,3.61,CWUE,60.296500,1922.68000
0.98,3.51,CSPP,60.421000,1927.03000
0.90,3.35,CSPP,60.545500,1931.18000
0.90,3.25,CSPP,60.670000,1935.33000
0.90,3.26,CKULL,60.762000,1938.23000
0.76,3.26,CKULL,60.854000,1941.08000
0.73,3.97,CKULL,61.130000,1949.63000
0.60,3.92,CKULL,61.222000,1952.48000
-0.03,3.51,CKULL,61.277200,1954.19000
0.60,3.80,CKULL,61.323200,1955.62000
0.35,3.33,CWUE,61.369400,1957.05000
0.58,3.59,CWUE,61.416300,1958.53000
0.59,3.42,CWUE,61.463200,1960.04000
0.72,3.80,CWUE,61.510200,1961.55000
0.88,3.57,CWUE,61.557100,1963.07000
0.88,3.41,CWUE,61.604000,1964.58000
0.90,3.48,CWUE,61.651000,1966.10000
1.19,3.31,CWUE,61.697900,1967.61000
1.09,3.29,CKULL,61.744800,1969.31000
0.61,3.15,CWUE,61.791800,1971.07000
0.99,3.05,CWUE,61.838700,1972.83000
0.67,2.86,CWUE,61.885600,1974.59000
0.55,3.27,CWUE,61.932500,1976.35000
0.55,3.55,CWUE,62.214100,1986.90000
0.73,3.75,CWUE,62.308000,1990.42000
0.43,3.89,CWUE,62.354900,1992.18000
0.72,3.86,CWUE,62.401800,1993.94000
0.79,3.44,CKULL,62.448700,1996.00000
0.74,3.69,CKULL,62.495600,1998.50000
0.82,3.52,CKULL,62.542500,2001.00000
0.76,3.57,CKULL,62.589400,2003.50000
0.83,3.43,CWUE,62.636200,2006.00000
0.54,3.26,CWUE,62.683100,2008.50000
-0.09,3.35,CWUE,62.730000,2011.00000
0.88,3.66,CWUE,62.776900,2012.61000
-0.27,3.63,CWUE,62.823700,2014.21000
1.19,3.17,CWUE,62.870600,2015.82000
0.98,3.25,CKULL,62.917500,2017.43000
1.00,3.33,CKULL,62.964400,2019.04000
1.08,3.13,CKULL,63.011200,2020.64000
1.06,3.09,CWUE,63.056900,2022.21000
0.99,3.00,CKULL,63.101800,2023.74000
0.94,3.22,CKULL,63.146600,2025.28000
1.15,3.16,CWUE,63.191400,2026.81000
0.98,3.62,CWUE,63.236300,2028.35000
0.99,3.43,CWUE,63.281100,2029.88000
1.16,3.14,CWUE,63.326000,2031.42000
0.94,3.39,CKULL,63.370800,2032.95000
1.06,3.59,CWUE,63.415700,2034.48000
0.95,3.61,CWUE,63.460500,2036.02000
0.93,3.67,CKULL,63.505400,2037.55000
1.03,3.68,CWUE,63.550200,2039.09000
0.95,3.76,CWUE,63.595100,2040.62000
0.98,3.50,CWUE,63.639900,2042.15000
0.97,3.06,CKULL,63.684700,2043.69000
0.99,2.96,CWUE,63.819300,2048.29000
0.86,3.36,CWUE,64.082600,2057.30000
0.90,3.48,CWUE,64.169600,2060.27000
0.52,3.62,CWUE,64.256500,2063.39000
0.77,4.01,CWUE,64.300000,2065.04000
0.30,4.05,CWUE,64.343500,2066.70000
0.20,4.05,CWUE,64.430400,2070.01000
0.44,3.70,CWUE,64.560900,2074.97000
0.53,3.79,CWUE,64.691300,2079.93000
0.10,3.50,CWUE,64.734800,2081.58000
0.45,3.85,CWUE,64.778300,2083.24000
0.37,3.71,CWUE,64.865200,2086.55000
0.79,3.24,CWUE,64.947500,2089.68000
0.86,3.31,CWUE,65.022100,2092.51000
0.73,3.40,CWUE,65.039100,2093.16000
0.90,3.21,CWUE,65.117400,2096.14000
0.81,2.92,CWUE,65.204300,2099.28000
0.71,2.99,CWUE,65.291300,2102.37000
0.79,3.24,CWUE,65.386900,2105.76000
0.83,3.38,CWUE,65.483500,2109.08000
0.90,3.31,CWUE,65.676600,2115.31000
0.77,3.17,CWUE,65.773100,2118.42000
-0.39,3.73,CWUE,65.966200,2124.65000
0.81,3.67,CWUE,66.062800,2127.77000
0.64,3.57,CWUE,66.159300,2130.10000
0.94,3.19,CWUE,66.255900,2132.37000
0.85,3.16,CWUE,66.352400,2134.65000
0.96,2.84,CWUE,66.447600,2136.88000
0.56,2.36,CWUE,66.539400,2139.05000
0.69,3.34,CWUE,66.723100,2144.64000
0.21,3.88,CWUE,66.815000,2147.62000
0.45,4.21,CWUE,67.090600,2156.56000
0.31,3.89,CWUE,67.182400,2159.54000
0.64,3.99,CWUE,67.276100,2162.57000
0.09,3.74,CWUE,67.370400,2165.64000
0.67,3.68,CWUE,67.464800,2168.70000
0.93,3.59,CWUE,67.559200,2171.76000
0.35,3.28,CWUE,67.747900,2177.88000
0.77,3.20,CWUE,67.842300,2180.94000
0.20,3.16,CWUE,67.930400,2183.80000
0.95,3.17,CWUE,68.014500,2186.52000
0.85,3.23,CSPP,68.098500,2189.13000
0.34,2.38,CSPP,68.182600,2191.59000
0.66,3.52,CSPP,68.266700,2194.05000
0.48,3.84,CSPP,68.350700,2196.51000
0.67,3.51,CSPP,68.434800,2198.97000
0.58,3.80,CWUE,68.534100,2201.44000
0.13,3.90,CWUE,68.640000,2203.82000
0.64,3.57,CSPP,68.745900,2206.19000
0.67,3.61,CKULL,68.851800,2208.57000
0.58,3.27,CSPP,68.957600,2210.95000
0.43,3.20,CSPP,69.063500,2215.93000
0.16,3.35,CSPP,69.169400,2220.97000
0.60,3.27,CSPP,69.268800,2223.01000
0.85,3.03,CSPP,69.367500,2225.02000
0.55,3.24,CSPP,69.466100,2227.02000
0.81,3.05,CSPP,69.564800,2229.03000
0.76,3.21,CSPP,69.663500,2231.04000
0.18,3.52,CWUE,69.762100,2233.05000
0.21,3.66,CWUE,69.860800,2235.44000
0.20,3.63,CWUE,69.963300,2237.92000
0.49,3.99,CWUE,70.071700,2240.53000
0.29,3.64,CWUE,70.180000,2243.15000
0.68,3.73,CWUE,70.288300,2245.77000
0.36,3.44,CWUE,70.396700,2248.39000
0.90,2.77,CWUE,70.497900,2250.84000
0.88,2.79,CWUE,70.691000,2255.74000
0.45,3.11,CWUE,70.884100,2262.50000
0.32,2.76,CWUE,71.077200,2269.27000
0.52,3.62,CWUE,71.463400,2282.80000
-0.04,3.41,CWUE,71.560000,2286.18000
0.90,2.74,CWUE,71.897900,2298.02000
0.80,2.62,CWUE,71.994500,2301.41000
0.59,2.50,CWUE,72.042800,2303.09000
0.44,2.74,CWUE,72.287800,2311.49000
0.09,3.56,CWUE,72.534500,2321.74000
0.67,3.33,CWUE,72.682500,2328.65000
0.48,3.73,CWUE,72.879100,2336.96000
0.72,3.30,CWUE,72.924900,2338.07000
0.29,3.48,CWUE,72.970600,2339.19000
0.44,3.12,CWUE,73.016300,2340.31000
0.59,3.16,CWUE,73.062000,2341.43000
0.73,3.25,CWUE,73.107700,2342.54000
0.92,2.94,CWUE,73.153400,2343.66000
0.86,2.85,CWUE,73.199100,2344.78000
0.95,3.04,CWUE,73.244900,2345.90000
0.38,2.99,CWUE,73.290600,2347.02000
0.94,2.94,CWUE,73.336300,2348.66000
0.82,3.00,CKULL,73.427700,2351.94000
-0.01,2.97,CKULL,73.473400,2353.58000
0.72,3.30,CWUE,73.568900,2357.01000
0.49,3.58,CWUE,73.617900,2358.77000
0.60,3.03,CWUE,73.716000,2362.29000
0.63,3.44,CWUE,73.814100,2365.81000
0.59,3.53,CWUE,73.863200,2367.57000
0.39,3.72,CWUE,73.912300,2369.33000
0.87,2.56,CWUE,74.731800,2398.73000
1.18,3.36,CKULL,75.425500,2419.85000
1.18,3.24,CKULL,75.505200,2422.02000
1.00,2.82,CSPP,75.584900,2424.19000
0.98,3.24,CKULL,75.664600,2426.36000
0.89,3.23,CSPP,75.744300,2428.53000
0.71,4.12,CWUE,76.009600,2435.74000
0.59,4.09,CWUE,76.103800,2438.31000
0.13,3.38,CWUE,76.198000,2440.87000
0.60,3.81,CWUE,76.292200,2443.43000
0.80,3.45,CWUE,76.386400,2446.00000
0.38,2.82,CWUE,76.480600,2448.78000
1.12,3.01,CWUE,76.663400,2455.70000
-0.08,2.32,CSPP,76.754700,2459.16000
1.00,3.00,CKULL,76.845900,2462.61000
0.97,3.04,CSPP,76.937200,2466.07000
0.95,2.95,CSPP,77.028500,2469.52000
0.61,3.58,CWUE,77.211000,2476.43000
-0.24,3.74,CWUE,77.302200,2479.89000
0.57,3.82,CWUE,77.494300,2487.13000
0.15,3.39,CWUE,77.601500,2490.42000
0.19,3.58,CWUE,77.708700,2493.71000
0.79,3.42,CWUE,78.030300,2503.58000
0.70,3.39,CKULL,78.137500,2506.87000
0.59,3.07,CWUE,78.244700,2510.16000
0.43,4.04,CWUE,78.351900,2513.45000
0.43,4.26,CWUE,78.566300,2520.03000
0.58,3.92,CWUE,78.780600,2526.61000
0.58,3.62,CKULL,78.990000,2533.03000
0.79,3.31,CSPP,79.090000,2536.10000
0.88,2.97,CSPP,79.190000,2539.17000
0.74,2.67,CKULL,79.304500,2542.68000
0.72,3.33,CSPP,79.562400,2550.05000
0.86,3.32,CKULL,79.691300,2553.61000
0.80,3.29,CSPP,79.807600,2556.83000
0.78,3.63,CKULL,79.918500,2559.90000
0.76,3.25,CSPP,80.029400,2562.97000
0.76,3.33,CKULL,80.140300,2566.04000
0.68,3.42,CKULL,80.251200,2569.10000
0.67,3.34,CKULL,80.362000,2572.17000
0.78,3.16,CSPP,80.472900,2575.24000
0.83,2.74,CSPP,80.583800,2578.31000
0.87,3.37,CKULL,80.694700,2581.38000
0.82,2.97,CSPP,80.805600,2584.45000
0.81,3.28,CKULL,80.916500,2587.51000
0.62,3.29,CSPP,81.027300,2590.58000
0.50,3.36,OUMB,81.093900,2592.42000
0.38,3.05,CWUE,81.204800,2595.49000
0.17,3.45,CWUE,81.315600,2598.56000
0.36,,UVIG,81.431500,2601.77000
0.75,,UVIG,81.550700,2605.75000
0.96,,UVIG,81.669900,2609.78000
0.97,,UVIG,81.789100,2613.82000
0.85,3.23,CWUE,81.908300,2617.85000
0.90,3.34,CKULL,82.015600,2621.48000
0.82,,UVIG,82.146700,2625.60000
0.83,2.63,CWUE,82.265900,2628.97000
,3.05,GORB,82.504300,2635.70000
,3.25,OUMB,82.742700,2642.43000
0.62,3.39,CWUE,82.862700,2645.82000
0.64,,UVIG,82.989400,2649.26000
,3.20,CWUE,83.116100,2652.50000
0.80,3.48,CKULL,83.242800,2655.74000
1.20,,UVIG,83.369500,2658.97000
1.38,,UVIG,83.496200,2662.21000
1.10,3.00,CKULL,83.622800,2665.45000
1.21,3.10,CKULL,83.749500,2668.69000
1.25,,UVIG,84.002900,2675.16000
,3.09,UVIG,84.129600,2678.40000
1.10,,UVIG,84.256300,2681.64000
0.72,3.13,CWUE,84.383000,2684.88000
,3.73,UVIG,84.535100,2688.76000
0.68,,UVIG,84.636400,2691.35000
0.74,3.43,OUMB,84.763100,2694.59000
,3.53,OUMB,84.889800,2697.83000
0.73,3.38,OUMB,85.016500,2701.07000
0.94,,UVIG,85.143200,2704.30000
,3.58,OUMB,85.269900,2707.54000
,3.79,OUMB,85.396600,2710.78000
0.50,3.90,UVIG,85.502000,2713.47000
0.51,3.67,UVIG,85.612000,2716.28000
0.97,3.77,UVIG,85.721000,2719.65000
0.54,3.62,UVIG,85.818600,2722.83000
0.83,2.96,CWUE,85.907400,2725.73000
0.79,2.80,CWUE,85.978400,2728.05000
0.65,3.14,CKULL,86.084900,2731.53000
1.05,2.77,CWUE,86.173700,2734.43000
1.06,3.02,CWUE,86.351200,2740.22000
0.88,2.87,CWUE,86.439900,2743.12000
0.92,2.65,CWUE,86.528700,2746.02000
0.24,2.86,CWUE,86.608600,2748.63000
,2.84,OUMB,86.724000,2752.39000
0.97,2.92,CWUE,86.795000,2754.71000
-0.04,2.84,CWUE,86.883700,2757.61000
0.88,2.99,CWUE,86.972500,2760.51000
,3.00,OUMB,87.061200,2763.41000
,3.19,UVIG,87.150000,2766.40000
0.90,2.67,CWUE,87.255800,2770.11000
,2.64,GORB,87.340400,2773.08000
0.37,3.02,CWUE,87.467300,2777.54000
0.88,2.89,CWUE,87.573100,2781.25000
0.69,2.67,CWUE,87.678800,2784.96000
0.89,2.90,CWUE,87.767500,2788.30000
0.93,2.69,CWUE,87.835000,2790.84000
0.08,2.84,CWUE,87.944700,2794.98000
0.71,3.25,CWUE,88.012200,2797.53000
0.84,3.45,CWUE,88.113400,2801.34000
0.76,3.60,UVIG,88.189400,2804.21000
0.54,3.06,CWUE,88.272200,2807.33000
0.92,3.41,CWUE,88.352800,2811.21000
0.90,3.37,CWUE,88.433400,2815.32000
,,PMURR,88.514000,2819.44000
0.99,3.14,CKULL,88.594600,2823.56000
0.71,2.84,CWUE,88.659100,2826.85000
0.24,2.99,CWUE,88.755800,2831.79000
0.07,3.52,CWUE,88.838200,2834.35000
0.48,3.17,CWUE,88.921500,2836.84000
1.04,3.15,CWUE,89.004700,2839.34000
0.97,2.73,CWUE,89.096200,2842.09000
0.87,3.21,CWUE,89.171100,2844.33000
0.91,2.95,CWUE,89.246000,2846.58000
0.19,3.15,CWUE,89.345900,2849.58000
0.69,3.33,CWUE,89.420800,2851.82000
1.12,3.28,CWUE,89.495700,2854.43000
0.72,3.14,CWUE,89.587200,2858.09000
0.72,2.67,CWUE,89.670400,2861.42000
1.12,2.88,CKULL,89.753600,2864.75000
1.14,2.96,CWUE,89.836900,2868.07000
,2.83,GORB,89.903400,2870.74000
1.09,3.01,CWUE,90.007400,2874.54000
0.92,3.04,CWUE,90.100800,2877.58000
0.95,3.40,UVIG,90.287600,2883.67000
0.60,3.07,CWUE,90.558400,2892.30000
0.61,3.15,CWUE,90.620000,2894.24000
1.13,3.25,CWUE,90.707900,2897.01000
0.48,3.06,CWUE,90.988100,2905.94000
0.34,3.10,CWUE,91.174900,2912.16000
1.04,3.24,CWUE,91.268300,2915.28000
1.05,2.89,CWUE,91.828500,2934.59000
0.65,2.73,CWUE,92.013900,2941.17000
1.00,2.88,CWUE,92.106600,2944.46000
1.02,2.82,CWUE,92.199300,2947.69000
1.12,3.03,CWUE,92.384600,2954.07000
1.08,3.24,CKULL,92.477300,2957.25000
,2.37,OUMB,92.570000,2960.44000
0.84,3.28,CWUE,92.755400,2966.81000
1.10,3.02,CWUE,93.126100,2982.07000
,2.37,OUMB,93.218800,2986.37000
1.06,3.22,CKULL,93.311500,2990.68000
0.95,2.80,CKULL,93.403000,2994.06000
1.11,3.19,CKULL,93.494200,2997.05000
0.86,3.24,CWUE,93.676600,3003.02000
0.75,,UVIG,93.932000,3011.38000
0.91,,UVIG,94.023200,3014.36000
0.80,3.27,CWUE,94.114500,3017.35000
0.52,3.34,CWUE,94.296900,3023.32000
0.63,,UVIG,94.388100,3026.30000
0.73,,UVIG,94.479300,3029.24000
0.44,2.27,CWUE,94.570500,3032.10000
0.31,2.53,CWUE,94.773100,3038.47000
,2.97,CWUE,94.889500,3042.13000
0.70,2.91,CWUE,95.006000,3045.79000
0.85,3.39,CKULL,95.122400,3049.45000
0.31,3.30,CWUE,95.238800,3052.72000
0.41,2.72,CWUE,95.355200,3055.92000
0.89,2.47,CWUE,95.471600,3059.12000
1.04,2.79,CWUE,95.588100,3062.32000
0.96,2.89,CWUE,95.704500,3065.52000
1.09,2.76,CWUE,95.820900,3068.72000
1.08,,UVIG,95.937300,3071.93000
1.06,2.70,CWUE,96.053700,3076.17000
0.67,2.31,CWUE,96.170200,3080.44000
0.98,2.67,CWUE,96.282700,3084.42000
0.85,2.65,CWUE,96.390100,3088.00000
1.02,2.98,CKULL,96.497500,3091.58000
0.82,2.94,CKULL,96.604900,3095.16000
0.45,2.91,CWUE,96.712300,3098.74000
0.91,2.94,CWUE,96.819700,3102.32000
0.70,2.83,CWUE,97.119500,3112.32000
0.95,2.84,CWUE,97.223500,3115.78000
0.85,2.90,CWUE,97.327600,3119.25000
0.75,3.02,CWUE,97.421200,3122.37000
0.62,3.12,CWUE,97.509900,3125.33000
0.67,3.15,OUMB,97.598600,3128.29000
,3.19,OUMB,97.687400,3131.25000
0.83,3.14,CWUE,97.776100,3133.73000
0.73,3.20,CWUE,97.864900,3136.06000
0.72,3.19,CWUE,97.953500,3138.38000
0.70,2.72,UVIG,98.042200,3140.70000
,2.65,GORB,98.130800,3143.03000
0.64,2.99,UVIG,98.227500,3146.55000
0.83,2.53,CWUE,98.312400,3149.63000
0.94,2.62,CWUE,98.393400,3152.58000
,2.49,CWUE,98.474400,3155.29000
0.77,2.63,CKULL,98.555400,3156.95000
