d13C,d18O,foram_species,depth_mcd,age_ka
-0.06,2.91,CKULL,12.912000,336.90500
-0.14,3.16,CWUE,12.912000,336.90500
-0.75,3.72,CSPP,12.975200,338.90000
-0.29,3.74,CSPP,12.975200,338.90000
0.04,4.54,CWUE,13.122500,343.55300
-0.21,4.41,CWUE,13.122500,343.55300
0.48,4.75,CWUE,13.192600,345.76700
-0.08,3.97,CWUE,13.284200,348.16800
0.64,4.37,CWUE,13.378400,350.59100
-0.17,4.38,CWUE,13.472500,353.01400
-0.19,4.33,CWUE,13.566600,355.43700
-0.10,4.46,CWUE,13.660700,357.86000
0.40,4.38,CWUE,13.943000,365.12600
0.70,4.33,CWUE,14.037100,367.54900
0.62,4.42,CWUE,14.037100,367.54900
0.63,4.22,CWUE,14.131200,369.97100
0.27,4.26,CWUE,14.225300,372.39400
0.75,4.16,CWUE,14.310000,374.57500
0.58,4.10,CWUE,14.413600,377.24000
0.73,3.90,CSPP,14.507700,379.66300
0.37,4.23,CWUE,14.601800,382.08600
0.90,3.77,CWUE,14.695800,384.50600
0.93,4.15,CWUE,14.789900,386.92900
0.96,3.80,CWUE,14.884000,389.35200
1.03,3.90,CKULL,14.884000,389.35200
0.92,3.86,CKULL,14.978200,391.77500
1.10,3.79,CWUE,15.072300,394.19700
0.91,3.90,CKULL,15.072300,394.19700
1.03,3.63,CWUE,15.166400,396.62000
0.55,3.69,CWUE,15.260500,399.35100
1.25,3.29,CWUE,15.349400,402.31300
1.18,3.50,CWUE,15.436900,405.23000
1.18,3.39,CKULL,15.436900,405.23000
1.08,2.89,CWUE,15.524300,408.14300
1.04,2.90,CWUE,15.598300,410.06300
1.32,2.87,CWUE,15.656500,411.34400
0.91,3.26,CBRA,15.727700,412.91000
0.84,3.46,CBRA,15.792400,414.33300
0.27,3.57,CSPP,15.792400,414.33300
0.20,3.84,CBRA,15.887100,416.41600
-0.25,4.65,CWUE,15.887100,416.41600
1.12,3.14,CKULL,15.997700,418.84900
0.67,3.88,CWUE,15.997700,418.84900
0.66,3.72,CWUE,16.108400,421.03900
0.93,3.79,CKULL,16.202100,422.70400
-0.03,5.05,CWUE,16.219200,423.00800
-0.13,5.01,CWUE,16.249300,423.54300
-0.11,5.01,CWUE,16.249300,423.54300
-0.25,4.78,CWUE,16.273800,423.97900
-0.52,4.81,CWUE,16.319900,424.79900
-0.22,4.95,CWUE,16.343500,425.21800
-0.18,4.88,CWUE,16.369400,425.67800
0.11,4.76,CWUE,16.404800,426.30800
0.09,4.67,CWUE,16.417100,426.52700
0.24,4.74,CWUE,16.417100,426.52700
0.41,4.22,CSPP,16.464900,427.37500
0.38,4.40,CWUE,16.512600,428.22400
0.42,4.47,CWUE,16.532100,428.57100
0.59,4.13,CWUE,16.560300,429.07300
0.48,4.39,CWUE,16.579300,429.40900
0.41,4.37,CWUE,16.608200,429.92300
0.33,4.38,CWUE,16.651100,430.68600
-0.15,4.37,CWUE,16.667400,430.97500
-0.04,4.58,CWUE,16.703600,431.62000
0.44,4.57,CWUE,16.799600,433.32700
0.09,4.48,CWUE,16.799600,433.32700
0.30,4.41,CWUE,16.998000,438.08000
0.72,4.24,CWUE,17.108200,442.85500
0.68,4.19,CWUE,17.218400,447.63000
0.59,4.31,CWUE,17.371000,454.24300
0.39,4.48,CWUE,17.371000,454.24300
0.31,3.89,CCIC,17.545500,461.80300
1.06,3.87,CKULL,17.824700,473.90200
1.25,3.95,CWUE,17.824700,473.90200
0.83,3.54,CKULL,18.068800,484.11700
1.13,3.68,CWUE,18.068800,484.11700
1.44,3.40,CWUE,18.219200,488.67400
-0.99,3.54,CKULL,18.219200,488.67400
1.11,3.45,CKULL,18.342100,492.17100
1.23,3.56,CBRA,18.478800,496.05800
