depth,age_ka,d18O_unadj,d18O
132.86,2813.29,2.82,3.46
132.96,2816.65,2.94,3.58
133.06,2820.01,2.78,3.42
133.16,2821.78,2.66,3.3
133.26,2823.54,2.64,3.28
133.36,2825.29,2.6,3.24
133.46,2827.05,2.62,3.26
133.66,2830.56,2.48,3.12
133.76,2832.32,2.57,3.21
133.86,2834.07,2.53,3.17
133.96,2835.83,2.74,3.38
134.06,2837.58,2.64,3.28
134.16,2839.82,2.86,3.5
134.26,2842.33,2.8,3.44
134.36,2844.83,2.82,3.46
134.46,2847.33,3,3.64
134.56,2849.84,2.9,3.54
134.66,2852.34,2.84,3.48
134.76,2854.84,2.9,3.54
134.86,2857.35,2.75,3.39
134.96,2859.79,2.68,3.32
135.06,2862.22,2.58,3.22
135.16,2864.65,2.67,3.31
135.26,2867.08,2.49,3.13
135.36,2869.51,2.68,3.32
135.46,2871.94,2.53,3.17
135.56,2874.37,2.64,3.28
135.66,2876.62,2.71,3.35
135.76,2878.38,2.85,3.49
135.86,2880.14,2.88,3.52
135.96,2881.89,2.86,3.5
136.06,2883.65,2.8,3.44
136.16,2885.41,2.81,3.45
136.26,2887.17,2.89,3.53
136.36,2888.93,2.67,3.31
136.46,2890.69,2.8,3.44
136.56,2892.46,2.71,3.35
136.66,2894.4,2.71,3.35
136.76,2896.34,2.59,3.23
136.86,2898.29,2.59,3.23
136.96,2900.23,2.47,3.11
137.06,2902.18,2.61,3.25
137.16,2904.12,2.68,3.32
137.26,2906.07,2.68,3.32
137.36,2908.01,2.54,3.18
137.46,2909.96,2.66,3.3
137.56,2911.9,2.65,3.29
137.66,2914.5,2.88,3.52
137.76,2917.2,2.83,3.47
137.78,2917.73,2.9,3.54
137.88,2920.43,2.96,3.6
137.98,2923.12,2.95,3.59
138.08,2925.81,3.07,3.71
138.18,2928.5,2.98,3.62
138.28,2931.19,2.82,3.46
138.38,2933.89,2.82,3.46
138.48,2936.58,2.64,3.28
138.58,2938.75,2.56,3.2
138.68,2940.73,2.39,3.03
138.78,2942.71,2.43,3.07
138.88,2944.68,2.3,2.94
138.98,2946.66,2.46,3.1
139.08,2948.64,2.27,2.91
139.18,2950.62,2.26,2.9
139.48,2956.55,2.38,3.02
139.58,2958.53,2.59,3.23
139.78,2962.48,2.44,3.08
139.98,2966.42,2.63,3.27
140.08,2968.39,2.68,3.32
140.18,2970.35,2.66,3.3
140.28,2972.31,2.63,3.27
140.38,2974.28,2.68,3.32
140.48,2976.24,2.68,3.32
140.58,2978.2,2.8,3.44
140.68,2980.17,2.68,3.32
140.78,2982.13,2.61,3.25
140.88,2984.37,2.46,3.1
140.98,2986.72,2.42,3.06
141.08,2989.06,2.43,3.07
141.18,2991.4,2.46,3.1
141.28,2993.74,2.4,3.04
141.36,2995.61,2.85,3.49
141.38,2996.08,2.69,3.33
141.46,2997.95,2.78,3.42
141.48,2998.42,2.61,3.25
141.56,3000.56,2.79,3.43
141.66,3003.6,2.77,3.41
141.76,3006.63,2.83,3.47
141.86,3009.67,2.92,3.56
141.96,3012.7,2.63,3.27
142.06,3015.73,2.79,3.43
142.16,3018.77,2.84,3.48
142.26,3021.8,2.71,3.35
142.36,3024.84,2.69,3.33
142.46,3027.81,2.54,3.18
142.56,3030.64,2.4,3.04
142.66,3033.47,2.46,3.1
142.76,3036.3,2.64,3.28
142.96,3041.96,2.48,3.12
143.06,3044.79,2.44,3.08
143.16,3047.63,2.58,3.22
143.26,3050.46,2.69,3.33
143.36,3053.29,2.59,3.23
143.46,3056.01,2.53,3.17
143.56,3058.52,2.55,3.19
143.66,3061.03,2.41,3.05
143.76,3063.54,2.39,3.03
143.86,3066.05,2.38,3.02
143.96,3068.56,2.47,3.11
144.06,3071.08,2.42,3.06
144.16,3073.59,2.38,3.02
144.26,3076.1,2.39,3.03
144.36,3078.61,2.42,3.06
144.46,3081.12,2.28,2.92
144.56,3083.63,2.39,3.03
144.66,3086.14,2.35,2.99
144.76,3088.38,2.59,3.23
144.86,3090.31,2.31,2.95
144.96,3092.24,2.67,3.31
145.06,3094.17,2.45,3.09
145.16,3096.1,2.44,3.08
145.26,3098.03,2.55,3.19
145.36,3099.95,2.45,3.09
145.46,3101.88,2.46,3.1
145.56,3103.81,2.51,3.15
145.66,3105.74,2.53,3.17
145.76,3107.67,2.39,3.03
145.86,3109.6,2.51,3.15
145.96,3111.52,2.44,3.08
146.06,3113.45,2.48,3.12
146.16,3115.38,2.61,3.25
146.26,3117.31,2.61,3.25
146.36,3119.72,2.61,3.25
146.46,3122.46,2.68,3.32
146.56,3125.2,2.73,3.37
146.66,3127.93,2.69,3.33
146.76,3130.67,2.71,3.35
146.86,3133.41,2.8,3.44
146.96,3136.15,2.43,3.07
147.06,3138.88,2.82,3.46
147.16,3141.62,2.81,3.45
147.26,3144.36,2.73,3.37
147.46,3149.96,2.52,3.16
147.56,3153.95,2.32,2.96
147.66,3157.94,2.23,2.87
147.86,3165.85,2.35,2.99
147.96,3168.03,2.49,3.13
147.98,3168.47,2.38,3.02
148.08,3170.66,2.54,3.18
148.18,3172.84,2.4,3.04
148.38,3177.22,2.41,3.05
148.48,3179.4,2.4,3.04
148.58,3181.59,2.32,2.96
148.68,3183.78,2.39,3.03
148.78,3185.93,2.3,2.94
148.88,3187.96,2.29,2.93
148.98,3189.98,2.36,3
149.08,3192,2.38,3.02
149.18,3194.03,2.37,3.01
149.28,3196.05,2.19,2.83
149.38,3198.07,2.28,2.92
149.48,3200.1,2.37,3.01
149.58,3202.12,2.32,2.96
149.68,3204.15,2.38,3.02
149.78,3206.17,2.35,2.99
149.88,3208.19,2.43,3.07
149.98,3210.22,2.29,2.93
150.08,3212.47,2.53,3.17
150.18,3214.9,2.48,3.12
150.28,3217.32,2.45,3.09
150.38,3219.75,2.25,2.89
150.48,3222.17,2.42,3.06
150.58,3224.6,2.52,3.16
150.68,3227.02,2.52,3.16
150.78,3229.45,2.46,3.1
150.88,3231.87,2.39,3.03
150.98,3234.3,2.33,2.97
151.08,3236.72,2.38,3.02
151.18,3239.13,2.58,3.22
151.28,3241.53,2.27,2.91
151.38,3243.92,2.32,2.96
151.48,3246.32,2.51,3.15
151.58,3248.72,2.45,3.09
151.68,3251.11,2.39,3.03
151.78,3253.51,2.45,3.09
151.88,3255.91,2.63,3.27
151.98,3258.3,2.58,3.22
152.08,3260.7,2.46,3.1
152.18,3263.09,2.52,3.16
152.28,3265.49,2.53,3.17
152.38,3267.89,2.5,3.14
152.48,3270.28,2.47,3.11
152.58,3272.68,2.43,3.07
152.68,3275.08,2.64,3.28
152.78,3277.47,2.6,3.24
152.88,3279.87,2.71,3.35
152.98,3282.27,2.69,3.33
153.08,3284.66,2.73,3.37
153.18,3286.97,3.05,3.69
153.08,3284.66,2.65,3.29
153.18,3286.97,2.92,3.56
153.28,3289.1,3.1,3.74
153.38,3291.23,3.16,3.8
153.48,3293.36,3.13,3.77
153.58,3295.49,3.04,3.68
153.68,3297.62,3,3.64
153.78,3299.74,2.98,3.62
153.88,3301.87,2.91,3.55
153.98,3304,2.89,3.53
154.08,3306.13,2.82,3.46
154.18,3308.26,2.83,3.47
154.28,3310.39,2.71,3.35
154.38,3312.52,2.47,3.11
154.48,3314.65,2.44,3.08
154.58,3316.78,2.33,2.97
154.68,3318.9,2.35,2.99
154.78,3321.03,2.33,2.97
154.88,3323.16,2.4,3.04
154.98,3325.29,2.53,3.17
155.08,3327.42,2.55,3.19
155.18,3329.55,2.58,3.22
155.28,3331.68,2.52,3.16
