Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Age (HMM)
S17 3526,ODP1209,B,5,H,3,35,37,36.95,40.67,2725.3
S17 3527,ODP1209,B,5,H,3,45,47,37.05,40.77,2731.1
S17 3528,ODP1209,B,5,H,3,55,57,37.15,40.87,2736.2
S17 3529,ODP1209,B,5,H,3,85,87,37.45,41.17,2756.7
S18 0787,ODP1209,B,5,H,3,90,92,37.5,41.22,2759.8
S17 3530,ODP1209,B,5,H,3,95,97,37.55,41.27,2762.5
S17 3531,ODP1209,B,5,H,3,105,107,37.65,41.37,2767.8
S17 3532,ODP1209,B,5,H,3,115,117,37.75,41.47,2772.5
S18 0788,ODP1209,B,5,H,3,120,122,37.8,41.52,2775.2
S17 3533,ODP1209,B,5,H,3,125,127,37.85,41.57,2777.6
S17 3534,ODP1209,B,5,H,3,135,137,37.95,41.67,2782.7
S18 0789,ODP1209,B,5,H,3,141,143,38,41.72,2785.8
S17 3535,ODP1209,B,5,H,3,145,147,38.05,41.77,2788.5
S18 0790,ODP1209,B,5,H,4,0,2,38.1,41.82,2792.3
S17 3175,ODP1209,B,5,H,4,5,7,38.15,41.87,2795.6
S17 3176,ODP1209,B,5,H,4,15,17,38.25,41.97,2802.3
S17 3177,ODP1209,B,5,H,4,25,27,38.35,42.07,2809.6
S17 3178,ODP1209,B,5,H,4,35,37,38.45,42.17,2815.6
S17 3179,ODP1209,B,5,H,4,45,47,38.55,42.27,2820.5
S17 3180,ODP1209,B,5,H,4,55,57,38.65,42.37,2824.5
S17 3341,ODP1209,B,5,H,4,65,67,38.75,42.47,2828.1
S17 3342,ODP1209,B,5,H,4,75,77,38.85,42.57,2831.4
S17 3343,ODP1209,B,5,H,4,85,87,38.95,42.67,2835.2
S17 3344,ODP1209,B,5,H,4,95,97,39.05,42.77,2839.2
S17 3345,ODP1209,B,5,H,4,105,107,39.15,42.87,2843.2
S17 3346,ODP1209,B,5,H,4,115,117,39.25,42.97,2847.4
S17 3347,ODP1209,B,5,H,4,125,127,39.35,43.07,2851.7
S17 3521,ODP1209,B,5,H,4,135,137,39.45,43.17,2856.3
S17 3522,ODP1209,B,5,H,4,145,147,39.55,43.27,2860.1
S18 1711,ODP1209,B,5,H,5,2,4,39.62,43.34,2863.0
S17 2132,ODP1209,B,5,H,5,5,7,39.65,43.37,2864.3
S17 2133,ODP1209,B,5,H,5,15,17,39.75,43.47,2869.0
S17 2134,ODP1209,B,5,H,5,25,27,39.85,43.57,2873.5
S18 1712,ODP1209,B,5,H,5,30,32,39.9,43.62,2876.1
S17 2135,ODP1209,B,5,H,5,35,37,39.95,43.67,2878.3
