Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,age_ka
ODP1209,B,5,H,2,135,137,36.45,40.17,UVIG,3.796,-0.712,2698.7
ODP1209,B,5,H,2,140,142,36.51,40.23,,,,2700.9
ODP1209,B,5,H,2,145,147,36.55,40.27,UVIG,3.951,-1.079,2702.9
ODP1209,B,5,H,3,2,4,36.62,40.34,,,,2706.7
ODP1209,B,5,H,3,5,7,36.65,40.37,UVIG,3.948,-1.168,2708.4
ODP1209,B,5,H,3,15,17,36.75,40.47,,,,2713.8
ODP1209,B,5,H,3,25,27,36.85,40.57,,,,2719.3
ODP1209,B,5,H,3,30,32,36.9,40.62,,,,2722.4
ODP1209,B,5,H,3,35,37,36.95,40.67,,,,2725.3
ODP1209,B,5,H,3,45,47,37.05,40.77,,,,2731.1
ODP1209,B,5,H,3,55,57,37.15,40.87,UVIG,3.819,-0.624,2736.2
ODP1209,B,5,H,3,65,67,37.25,40.97,UVIG,3.409,-0.472,2743.4
ODP1209,B,5,H,3,78,80,37.38,41.1,UVIG,3.644,-0.638,2752.5
ODP1209,B,5,H,3,85,87,37.45,41.17,UVIG,3.699,-0.669,2756.7
ODP1209,B,5,H,3,90,92,37.5,41.22,,,,2759.8
ODP1209,B,5,H,3,95,97,37.55,41.27,,,,2762.5
ODP1209,B,5,H,3,105,107,37.65,41.37,,,,2767.8
ODP1209,B,5,H,3,115,117,37.75,41.47,UVIG,3.564,-0.641,2772.5
ODP1209,B,5,H,3,120,122,37.8,41.52,,,,2775.2
ODP1209,B,5,H,3,125,127,37.85,41.57,,,,2777.6
ODP1209,B,5,H,3,135,137,37.95,41.67,UVIG,3.489,-0.433,2782.7
ODP1209,B,5,H,3,141,143,38,41.72,,,,2785.8
ODP1209,B,5,H,3,145,147,38.05,41.77,,,,2788.5
ODP1209,B,5,H,4,0,2,38.1,41.82,,,,2792.3
ODP1209,B,5,H,4,5,7,38.15,41.87,,,,2795.6
ODP1209,B,5,H,4,15,17,38.25,41.97,,,,2802.3
ODP1209,B,5,H,4,25,27,38.35,42.07,,,,2809.6
ODP1209,B,5,H,4,35,37,38.45,42.17,UVIG,3.814,-0.601,2815.6
ODP1209,B,5,H,4,45,47,38.55,42.27,UVIG,3.564,-0.47,2820.5
ODP1209,B,5,H,4,55,57,38.65,42.37,UVIG,3.655,-0.715,2824.5
ODP1209,B,5,H,4,65,67,38.75,42.47,UVIG,3.545,-0.364,2828.1
ODP1209,B,5,H,4,75,77,38.85,42.57,UVIG,3.436,-0.484,2831.4
ODP1209,B,5,H,4,85,87,38.95,42.67,UVIG,3.456,-0.502,2835.2
ODP1209,B,5,H,4,95,97,39.05,42.77,,,,2839.2
ODP1209,B,5,H,4,105,107,39.15,42.87,,,,2843.2
ODP1209,B,5,H,4,115,117,39.25,42.97,UVIG,3.757,-0.593,2847.4
ODP1209,B,5,H,4,125,127,39.35,43.07,,,,2851.7
